Año;Fase;Nivel;Concepto;Concepto_Padre;Unidad;Valor
2022;Vigente;1;Total PGN;;Miles mm COP;350.097,955
2022;Vigente;1;PGN como % del PIB;Total PGN;% PIB;0,238
2022;Vigente;2;Funcionamiento;Total PGN;Miles mm COP;208.807,827
2022;Vigente;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,142
2022;Vigente;3;Gastos de Personal;Funcionamiento;Miles mm COP;38.307,185
2022;Vigente;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;11.679,843
2022;Vigente;3;Transferencias;Funcionamiento;Miles mm COP;155.147,678
2022;Vigente;4;SGP;Transferencias;Miles mm COP;49.564,897
2022;Vigente;4;Pensiones;Transferencias;Miles mm COP;50.488,999
2022;Vigente;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;4.400,246
2022;Vigente;4;Resto;Transferencias;Miles mm COP;50.693,536
2022;Vigente;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;1.597,456
2022;Vigente;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;550,314
2022;Vigente;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;430,933
2022;Vigente;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;1.094,417
2022;Vigente;2;Servicio de la Deuda;Total PGN;Miles mm COP;71.664,580
2022;Vigente;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,049
2022;Vigente;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;15.621,349
2022;Vigente;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;3.936,135
2022;Vigente;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;11.581,091
2022;Vigente;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;104,123
2022;Vigente;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;56.043,231
2022;Vigente;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;27.741,272
2022;Vigente;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;26.639,140
2022;Vigente;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;411,315
2022;Vigente;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;1.251,504
2022;Vigente;2;Inversión;Total PGN;Miles mm COP;69.625,548
2022;Vigente;2;Inversión como % del PIB;Inversión;% PIB;0,047
2022;Comprometido;1;Total PGN;;Miles mm COP;210.177,315
2022;Comprometido;1;PGN como % del PIB;Total PGN;% PIB;0,143
2022;Comprometido;2;Funcionamiento;Total PGN;Miles mm COP;164.877,277
2022;Comprometido;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,112
2022;Comprometido;3;Gastos de Personal;Funcionamiento;Miles mm COP;8.213,462
2022;Comprometido;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;6.533,559
2022;Comprometido;3;Transferencias;Funcionamiento;Miles mm COP;148.786,526
2022;Comprometido;4;SGP;Transferencias;Miles mm COP;12.582,012
2022;Comprometido;4;Pensiones;Transferencias;Miles mm COP;12.619,786
2022;Comprometido;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;4.273,138
2022;Comprometido;4;Resto;Transferencias;Miles mm COP;119.311,590
2022;Comprometido;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;662,326
2022;Comprometido;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;393,241
2022;Comprometido;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;56,534
2022;Comprometido;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;231,629
2022;Comprometido;2;Servicio de la Deuda;Total PGN;Miles mm COP;8.690,014
2022;Comprometido;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,006
2022;Comprometido;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;3.391,474
2022;Comprometido;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;720,372
2022;Comprometido;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.655,054
2022;Comprometido;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;16,049
2022;Comprometido;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;5.298,540
2022;Comprometido;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;637,457
2022;Comprometido;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;4.570,448
2022;Comprometido;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;7,765
2022;Comprometido;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;82,870
2022;Comprometido;2;Inversión;Total PGN;Miles mm COP;36.610,024
2022;Comprometido;2;Inversión como % del PIB;Inversión;% PIB;0,025
2022;Obligado;1;Total PGN;;Miles mm COP;165.451,985
2022;Obligado;1;PGN como % del PIB;Total PGN;% PIB;0,112
2022;Obligado;2;Funcionamiento;Total PGN;Miles mm COP;145.440,030
2022;Obligado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,099
2022;Obligado;3;Gastos de Personal;Funcionamiento;Miles mm COP;7.476,793
2022;Obligado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;1.739,371
2022;Obligado;3;Transferencias;Funcionamiento;Miles mm COP;135.393,900
2022;Obligado;4;SGP;Transferencias;Miles mm COP;12.578,425
2022;Obligado;4;Pensiones;Transferencias;Miles mm COP;6.115,606
2022;Obligado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;1.357,022
2022;Obligado;4;Resto;Transferencias;Miles mm COP;115.342,848
2022;Obligado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;153,281
2022;Obligado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;391,607
2022;Obligado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;55,366
2022;Obligado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;229,711
2022;Obligado;2;Servicio de la Deuda;Total PGN;Miles mm COP;8.631,580
2022;Obligado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,006
2022;Obligado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;3.340,896
2022;Obligado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;708,347
2022;Obligado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.623,092
2022;Obligado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;9,457
2022;Obligado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;5.290,685
2022;Obligado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;637,449
2022;Obligado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;4.570,448
2022;Obligado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,000
2022;Obligado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;82,787
2022;Obligado;2;Inversión;Total PGN;Miles mm COP;11.380,375
2022;Obligado;2;Inversión como % del PIB;Inversión;% PIB;0,008
2022;Pagado;1;Total PGN;;Miles mm COP;164.868,950
2022;Pagado;1;PGN como % del PIB;Total PGN;% PIB;0,112
